,1330_open,1330_high,1330_low,1330_close,1330_volume,6702_open,6702_high,6702_low,6702_close,6702_volume,USD,EUR,1y,5y,9y,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume
2011-02-02,10510,10630,10510,10610,337.01,513.0,516.0,508.0,509.0,17590,81.47,112.63,0.15,0.512,1.113,11824.389648,11891.929688,11817.879883,11891.929688,206580000
2011-02-03,10570,10600,10560,10580,86.18,512.0,521.0,509.0,516.0,16407,81.63,112.71,0.149,0.537,1.133,11892.5,12050.75,11892.5,12040.160156,180890000
2011-02-04,10680,10730,10680,10710,557.82,517.0,525.0,516.0,522.0,11115,81.67,111.26,0.149,0.563,1.177,12038.269531,12057.910156,12018.509766,12041.969727,143440000
2011-02-07,10800,10820,10730,10750,249.85,524.0,537.0,524.0,531.0,16077,82.28,111.71,0.159,0.57,1.183,12061.730469,12092.419922,12025.780273,12092.150391,121780000
2011-02-08,10800,10810,10780,10780,93.52,532.0,537.0,530.0,533.0,11988,82.31,111.79,0.159,0.593,1.212,12061.730469,12092.419922,12025.780273,12092.150391,121780000
2011-02-09,10830,10850,10760,10760,205.19,537.0,537.0,527.0,530.0,14495,82.31,112.17,0.169,0.62,1.23,12092.379883,12188.759766,12092.299805,12161.629883,132960000
2011-02-10,10750,10780,10720,10760,276.34,526.0,530.0,522.0,527.0,13130,82.49,113.13,0.169,0.604,1.208,12152.700195,12238.790039,12150.049805,12233.150391,126650000
2011-02-14,10830,10880,10820,10880,209.75,537.0,539.0,531.0,535.0,9202,83.26,112.57,0.169,0.601,1.206,12227.780273,12285.94043,12180.480469,12273.259766,184290000
2011-02-15,10890,10910,10870,10910,149.77,533.0,537.0,531.0,534.0,7816,83.32,112.48,0.17,0.591,1.203,12227.780273,12285.94043,12180.480469,12273.259766,184290000
2011-02-16,10920,11000,10910,10960,154.86,535.0,546.0,534.0,544.0,16967,83.73,113.09,0.17,0.627,1.25,12266.830078,12276.209961,12235.910156,12268.19043,146350000
2011-02-17,11030,11050,10970,10990,478.56,550.0,556.0,547.0,550.0,15706,83.63,113.5,0.171,0.617,1.2429999999999999,12266.75,12267.660156,12193.269531,12226.639648,142580000
2011-02-18,10990,11020,10960,11010,646.48,549.0,551.0,545.0,550.0,7721,83.37,113.47,0.17,0.594,1.215,12219.790039,12303.160156,12219.790039,12288.169922,146270000
2011-02-21,10980,11010,10940,11000,330.59,545.0,556.0,545.0,555.0,11152,83.1,113.76,0.17,0.609,1.226,12318.669922,12391.290039,12303.230469,12391.25,230040000
2011-02-22,10890,10920,10790,10830,325.74,549.0,555.0,546.0,551.0,12762,82.95,113.15,0.17,0.573,1.182,12318.669922,12391.290039,12303.230469,12391.25,230040000
2011-02-23,10740,10820,10720,10740,241.63,547.0,554.0,544.0,548.0,21362,82.87,113.47,0.17,0.5489999999999999,1.148,12318.669922,12391.290039,12303.230469,12391.25,230040000
2011-02-24,10700,10700,10580,10610,649.8,551.0,554.0,546.0,549.0,15673,82.31,113.39,0.17,0.542,1.129,12389.740234,12389.820313,12176.30957,12212.790039,201860000
2011-02-25,10640,10690,10610,10680,315.25,546.0,557.0,543.0,554.0,15009,81.94,113.17,0.173,0.564,1.147,12211.80957,12221.120117,12063.429688,12105.780273,213490000
2011-02-28,10660,10790,10600,10780,358.81,555.0,557.0,546.0,552.0,13753,81.7,112.1,0.18,0.5660000000000001,1.1540000000000001,12060.929688,12151.030273,12060.929688,12130.450195,147540000
2011-03-01,10840,10910,10830,10910,155.51,552.0,554.0,542.0,545.0,12403,81.95,113.24,0.181,0.5720000000000001,1.179,12060.929688,12151.030273,12060.929688,12130.450195,147540000
2011-03-02,10770,10780,10650,10650,378.79,542.0,547.0,540.0,542.0,15938,81.92,112.81,0.175,0.546,1.141,12130.450195,12235.040039,12130.150391,12226.339844,199560000
