
収束にどれだかかかるか確認してみた。
ログが流れて行っている、、、
さくっとshow_predict.pyが動かなかったので、Model Classを分離することにした。
なので、まだ、生データは見ていない。

tensorboardデータとmodelはこのディレクトリに一応保存済み

2019/04/02 18:59:45: step 199050, loss 0.001, acc 0.988, std 0.041
2019/04/02 18:59:55: step 199100, loss 0.001, acc 0.983, std 0.039
2019/04/02 19:00:06: step 199150, loss 0.000, acc 0.985, std 0.041
2019/04/02 19:00:17: step 199200, loss 0.001, acc 0.994, std 0.040
2019/04/02 19:00:28: step 199250, loss 0.000, acc 0.988, std 0.040
2019/04/02 19:00:38: step 199300, loss 0.000, acc 0.988, std 0.040
2019/04/02 19:00:49: step 199350, loss 0.000, acc 0.991, std 0.041
2019/04/02 19:01:00: step 199400, loss 0.000, acc 0.989, std 0.043
2019/04/02 19:01:11: step 199450, loss 0.001, acc 0.981, std 0.044
2019/04/02 19:01:21: step 199500, loss 0.000, acc 0.983, std 0.043
2019/04/02 19:01:32: step 199550, loss 0.000, acc 0.982, std 0.044
2019/04/02 19:01:42: step 199600, loss 0.000, acc 0.987, std 0.040
2019/04/02 19:01:53: step 199650, loss 0.001, acc 0.988, std 0.042
2019/04/02 19:02:04: step 199700, loss 0.000, acc 0.982, std 0.043
2019/04/02 19:02:15: step 199750, loss 0.000, acc 0.988, std 0.044
2019/04/02 19:02:25: step 199800, loss 0.001, acc 0.982, std 0.042
2019/04/02 19:02:36: step 199850, loss 0.001, acc 0.987, std 0.041
2019/04/02 19:02:45: step 199900, loss 0.001, acc 0.984, std 0.042
2019/04/02 19:02:56: step 199950, loss 0.001, acc 0.987, std 0.041
2019/04/02 19:03:06: step 200000, loss 0.000, acc 0.988, std 0.041
